period,type,months,total_undiscounted,total_discount,net_revenue,avg_discount_rate
2026-01-01 to 2027-01-01 (Forecast),Forecast,13,95110932.3735973,11293790.71833685,83817141.65526046,12.151801178979557
2024-07-01 to 2025-07-01 (Historical),Historical,13,97861831.36000001,8856321.350000001,89005510.00999999,9.049821801740702
